"Symptom Type","Reporter Comment"
"2 - Quality Issue - Appearance","SW8000/M470 front chassis have some paint coming off "
"4 - Quality Issue - Functional","M438: possibly leak or just residue. Please check and verify if it is tighten."
"5 - Quality Issue - Assembly","M438: missing bush from right side skirt."
"5 - Quality Issue - Assembly","M438: broken orange torque seal from main broom left side."
"5 - Quality Issue - Assembly","SC800/M646 scratching on cover support assys might hitting with some metal "
"5 - Quality Issue - Assembly","M438: missing orange torque seal and some need to apply more seal from main broom."
"Assembly Issue","SW8000/M470 - Lever for main broom is loose."
"Assembly Issue","FL916 sc50 Liberty - water leaking from front bumper cross hose "
"Assembly Issue","FL916 sc50 Liberty - water leaking from front bumper cross hose "
"5 - Quality Issue - Assembly","SC800/M646 the pin tapered is scratching  the cover support assy holes "
"5 - Quality Issue - Assembly","SC800/M646 it looks like it might be missing bushings "
"5 - Quality Issue - Assembly","SC800/M646 looks like spray paint is left on one of the hydraulic hose on main broom "
"5 - Quality Issue - Assembly","SC800/M646 left idler assembly (PL#56110752) needs adjustment "
"5 - Quality Issue - Assembly","SC800/M646 round metal item left on the LP tank magnet latch holder "
"5 - Quality Issue - Assembly","SC800/M646 debris on ecoflex compartment "
"5 - Quality Issue - Assembly","SC6500/P234 recovery tank is hitting solution tank, can this be adjusted ?"
"5 - Quality Issue - Assembly","SC6500/P234 stripped bold on solution tank lid "
"5 - Quality Issue - Assembly","SC6500/P234 missing holes for beacon kit "
"5 - Quality Issue - Assembly","SC6500/P234 battery connector are loose please double check those "
"4 - Quality Issue - Functional","SC8000/M438 has lot of residue on main broom motor and fittings or possible leak."
"5 - Quality Issue - Assembly","SC8000/ M438 recovery tank left arm sitting on hydraulic hose or fittings."
"5 - Quality Issue - Assembly","P066: loose battery cable."
"5 - Quality Issue - Assembly","P066: missing option for kit spray wand 56413687."
"2 - Quality Issue - Appearance","M463: dent on seat assembly."
"5 - Quality Issue - Assembly","M463: plugs for hot test is not plug together."
"2 - Quality Issue - Appearance","M463: strain relief is damage."
"2 - Quality Issue - Appearance","M463: residue or possible leak from steering cylinder assemble."
"Assembly Issue","N260 SC6500 - fault code 03 popped up and shut off scrub deck when testing machine. "
"Assembly Issue","N260 sc6500 - front panel keeps slipping off of latch "
"Assembly Issue","N260 sc6500 - front panel keeps slipping off of latch "
"Assembly Issue","N260 sc6500 - no battery cable kit "
"Assembly Issue","N260 SC6500 - Brake cable is probably to tight causing machine to brake without stepping on brake "
"5 - Quality Issue - Assembly","Fitting from oil pan leaking "
"5 - Quality Issue - Assembly","Rear Squeegee loose"
"2 - Quality Issue - Appearance","P018: scratch on recovery tank."
"5 - Quality Issue - Assembly","O099: main door does not latch twice. Needed to force the door to latch twice."
"5 - Quality Issue - Assembly","Fault code history not cleared."
"5 - Quality Issue - Assembly","Missing option 56109463"
"Assembly Issue","SW8000/O099 - Mist kit pump is leaking."
"5 - Quality Issue - Assembly","SC6500/P018.  The  right side rubber stop for the deck, has more compression then left side "
"Assembly Issue","SW98000/O099 - Lever is lose."
"5 - Quality Issue - Assembly","SC6500/P018 the vacuum hose are sticking out more then what they are supposed to be "
"4 - Quality Issue - Functional","SC6500/P018 steering wheel chain needs to be adjusted, it is to tight and is causing that the wheel when is turn all the way right and u let the steering wheel go, it won’t come back to straight position "
"5 - Quality Issue - Assembly","M702: missing two orange torque seal."
"2 - Quality Issue - Appearance","M702: b surface recovery tank need to be retouch on light grey paint."
"5 - Quality Issue - Assembly","M702: missing orange torque seal hydraulic pump."
"2 - Quality Issue - Appearance","SC6500/PO46 has scratches on  steering lower column weldment (56414084) and also scratches on decal, Packing brake ( 56016401). See photo "
"2 - Quality Issue - Appearance","SC6500/PO46 has scratches on  steering lower column weldment (56414084) and also scratches on decal, Packing brake ( 56016401). See photo "
"Assembly Issue","SW8000/O099 - Intermediate cover isn't lining up and engine cover is hitting intermediate cover."
"4 - Quality Issue - Functional","P018: Dual Vacuum when seal cause for low PSI pressure was the two motors were not adjust evenly when installing. AJ from 254 line adjust it correctly and PSI pressure read over 58 PSI. "
"Assembly Issue","P018-Sc6500- Vacuum sealed fail due to low pressure its under 55 which its too low!  and also its a dual vac"
"Assembly Issue","P018: Vacuum Pressure of Dual Vac System when seal, it read 55 however work instruction does not inform the value. But when entering value, it requires 58 or more. Verified by Benson. Must review with engineer."
"5 - Quality Issue - Assembly","Hardware  installed wrong"
"5 - Quality Issue - Assembly","Paint scratches on safety bar’"
"5 - Quality Issue - Assembly","SC6500/N206 vacuum hose is coming out more then normal"
"5 - Quality Issue - Assembly","SC6500/ N206 stopper for the right side skirt is way too low and that causing the right skirt to look higher then the left side skirt."
"5 - Quality Issue - Assembly","SC6500/ N206 stopper for the right side skirt is way too low and that causing the right skirt to look higher then the left side skirt."
"Assembly Issue","FL915 sc50 Liberty - all torque Guns are being calibrated so all the torque impacts are down on 266 line . "
"5 - Quality Issue - Assembly","SC6500/N206 Solution tank cover lid don’t stay close, kinda loose."
"5 - Quality Issue - Assembly","SC6500/N206 Solution tank cover lid don’t stay close, kinda loose."
"5 - Quality Issue - Assembly","FL895: loose grey plug. Missing zip tie."
"4 - Quality Issue - Functional","CS7010/O008 it has a small leak coming from the ecoflex hose pump "
"2 - Quality Issue - Appearance","CS7010/O068 Right side skirt plate- Catch (56510139) has paint scratch"
"5 - Quality Issue - Assembly","O069: dump door fail jig when closing."
"5 - Quality Issue - Assembly","CS7010/ O068  Loose washer on right side broom weldment . See photo"
"5 - Quality Issue - Assembly","CS7010/O068 standard seat Rod- Prop( 56394235) not falling up and down."
"5 - Quality Issue - Assembly","CS7010/O068 standard seat Rod- Prop( 56394235) not falling up and down."
"Assembly Issue","N206-Sc6500- We had a Rotor sample #4 fit up from jerry! its a passed for us EOL"
"Part Shortage","CS7010/O069 - Missing overheard guard support for overhead guard kit."
"2 - Quality Issue - Appearance","7765/M640 hopper dump door scratches inside hopper. Possible cause could be, dump door not evenly installed there’s a gap on dump door from the left side."
"2 - Quality Issue - Appearance","7765/M640 hopper dump door scratches inside hopper. Possible cause could be, dump door not evenly installed there’s a gap on dump door from the left side."
"5 - Quality Issue - Assembly","7765/M640 has two loose screws and bolts under solution tank chassis. See photo "
"Assembly Issue","N206-Sc6500- Missing kit vacuum motor/ its a duel vac!"
"2 - Quality Issue - Appearance","7765/M640 hopper dump door scratches inside hopper. Possible cause, dump door not evenly installed, there’s a gap on the left side of the dump door."
"Part Shortage","CS7010/O068 - Missing overhead guard support for overhead guard."
"Assembly Issue","CS7010/O068 - keeps smelling like propane so maybe it might be leaking."
"2 - Quality Issue - Appearance","7765/M640 has scratches on radiator weldment."
"2 - Quality Issue - Appearance","SC6500/N200 has scratches on machine including side panels…."
"5 - Quality Issue - Assembly","SC6500/N200 Solution tank cover lid not closing correctly."
"Assembly Issue","SC8000/M236 - Mist kit wiring isn't connected which causes mist kit to not spray."
"5 - Quality Issue - Assembly","SC6500/ N200 Missing option for kit spray wand ( 56413687). Which causing pump motor to come on automatically when switch on machine."
"Part Shortage","511919 heat shield"
"Part Shortage","missing hopper cover cs7010      "
"5 - Quality Issue - Assembly","FL894: missing zip tie for single ground wire (green)."
"5 - Quality Issue - Assembly","FL894: loose cable connector from autonomous."
"Assembly Issue","FL894 sc50 Liberty - sub 2 and main 9 is still open on the line "
"Part Shortage","CS7010-O008-part shortage of support for the over head guard "
"Assembly Issue","N200-Sc6500-top cover screw was loose all 5!"
"5 - Quality Issue - Assembly","M768: loose screw from interface panel. Common issue. Need to address assembler and work instructions."
"5 - Quality Issue - Assembly","M768: seat support stand is not free falling. Should be loose."
"4 - Quality Issue - Functional","CS7010/M767 hydraulic pump reservoir has a loose hose causing leak , see photo."
"4 - Quality Issue - Functional","CS7010/M767 hydraulic pump reservoir has a loose hose causing leak , see photo."
"5 - Quality Issue - Assembly","CS7010/M767 Rod-Prop (56394235) not falling up and down "
"5 - Quality Issue - Assembly","CS7010/M767 Rod-Prop (56394235) not falling up and down "
"Assembly Issue","FL894 sc50 Liberty - 5-E409 obstructed left prox , 5-F5B4 no obstacle detect . had already wipe sensors down ,resent planned ,and check calibration same fault codes pop up "
"Assembly Issue","FL894 sc50 Liberty -  having connection issues with the trackunit website, so cant pair track clean to machine ."
"2 - Quality Issue - Appearance","Upper hopper discoloration "
"5 - Quality Issue - Assembly","Lose , cross-threaded  and stripped bolt."
"2 - Quality Issue - Appearance","O103: scratches on interior metal plate from solution tank."
"2 - Quality Issue - Appearance","O103: filter has left over debris."
"Assembly Issue","M768/CS7010 Drive wheel is unresponsive when steering right."
"5 - Quality Issue - Assembly","O103: loose screw from interface panel."
"5 - Quality Issue - Assembly","SC6500/N205 recovery tank needs to be adjusted it "
"5 - Quality Issue - Assembly","SC6500/N205 solution tank lid needs to be grind for properly fit, easy to open "
"5 - Quality Issue - Assembly","SC6500/P026 recovery tank needs adjustment, it is seating on solutions tank corners and is leaving a gap "
"5 - Quality Issue - Assembly","SC6500/P026 solution tank lid needs to be grind for properly fit, it won’t stay close "
"4 - Quality Issue - Functional","SC6500/N205 have a leak coming from the spray wand connection "
"5 - Quality Issue - Assembly","SC6500/N205 solution tank lid needs to be grind for properly fit "
"4 - Quality Issue - Functional","SW8000/M444 door broom RT WELDT is hitting the chassis latch pin "
"4 - Quality Issue - Functional","SW8000/M444 bracket-sear latch is grinding the chassis bolt latch "
"Assembly Issue","FL893 SC50 Liberty - having connection issues with the trackunit website, so cant pair track clean to machine ."
"5 - Quality Issue - Assembly","M444: seat assy is not align and metal latch is grinding with guide bracket."
"Assembly Issue","CS7010/O103 - Machine suddenly slows down at time out of nowhere even when you're stepping on the gas pedal."
"2 - Quality Issue - Appearance","M444: tiny metal scrap next to battery."
"5 - Quality Issue - Assembly","M444: latch from left side is missing pin to latch with the hook. "
"5 - Quality Issue - Assembly","M444: when closing main door, must force for latch to click twice."
"5 - Quality Issue - Assembly","M444: can not unplug seat."
"4 - Quality Issue - Functional","SC6500/ N205 Kit spray wand motor comes on automatically when machine switches on. Possible cause, because of missing kit spray wand not yet installed."
"5 - Quality Issue - Assembly","SC6500/N205 Missing option for Kit spray wand. Part numbers: (56413687). See photo "
"Assembly Issue","SW8000/M444 - Timer for front panel is upside down."
"4 - Quality Issue - Functional","O102: hopper had antifreeze and it was leaking. "
"5 - Quality Issue - Assembly","O102: missing EOL hot test screen shot."
"5 - Quality Issue - Assembly","SC6500/N272 missing manual book instruction "
"5 - Quality Issue - Assembly","SC6500/N272  solution tank lid needs to be adjusted easy to pop up "
"5 - Quality Issue - Assembly","Broken zip tie in scrub deck area"
"5 - Quality Issue - Assembly","CS6500/N272 missing holes for the beacon kit "
"5 - Quality Issue - Assembly","SC6500/N272 missing the new ecoflex bottle "
"2 - Quality Issue - Appearance","SC6500/N272 sticky tag left on front of solution tank "
"4 - Quality Issue - Functional","CS7010/M858 the white plastic support for the scrub deck needs to be replaced it "
"5 - Quality Issue - Assembly","SC6500/N273 recovery  tank needs to be adjusted, there is a gap between the side panel support and recovery tank "
"5 - Quality Issue - Assembly","SC50/FL912 has wrong gate way IOT installed on machine."
"2 - Quality Issue - Appearance","SC6500/N273 sticky tag left on recovery tank "
"5 - Quality Issue - Assembly","SC6500/N273 missing holes for beacon kit "
"5 - Quality Issue - Assembly","SC6500/N273 steering wheel feels tightened when turning right chain will needs to be adjusted "
"Assembly Issue","N272 Sc6500 - was told to just wash and clean machine because it has been tested already - EOL BV "
"2 - Quality Issue - Appearance","FL911: decal is damage for battery cable charger."
"4 - Quality Issue - Functional","CS7010/M858 scrub deck is not installed properly, left side looks higher then right side and (withe plastic) is all the way up, it does not looks like the work instructions calls "
"1 - Performance Loss","CS7010/M858 missing LP tank TAG (because this machine had an issue with the engine some how we lost the lp tank tag) "
"Assembly Issue","FL892 SC50 Liberty - drive wheel motor whine very loud "
"5 - Quality Issue - Assembly","SW8000/M443 main broom decal is cricked "
"5 - Quality Issue - Assembly","SW8000/M443 screw on broom lift assy plate is not screwed all the way down "
"2 - Quality Issue - Appearance","SW8000/M443 tape and oil residue left inside the machine next to "
"2 - Quality Issue - Appearance","FL912: drain hose is damaged which cause a water leak. Poor design. Need to replace drain hose."
"4 - Quality Issue - Functional","Liberty SC50/FL911 Came in FQC with very low battery 2%...causing delay inspection."
"4 - Quality Issue - Functional","Liberty SC50/FL911 Came in FQC with very low battery 2%...causing delay inspection."
"Assembly Issue","water leak from valve solenoid (56394397)"
"5 - Quality Issue - Assembly","Liberty SC50/ FL911 loose harness REV B on squeegee."
"Assembly Issue","hopper cover hits hopper when close "
"2 - Quality Issue - Appearance","Liberty SC50/FL911 has scratches outside of recovery tank front."
"2 - Quality Issue - Appearance","Liberty SC50/FL911 has scratches outside of recovery tank front."
"1 - Performance Loss","SC50/FL912 is missing the orange work order paperwork "
"Assembly Issue","FL892 sc50 Liberty - sub 2 is still open on 266 line "
"5 - Quality Issue - Assembly","CS7010/M953 the prop rod from seat is not free falling "
"Assembly Issue","large scratch on rear side panel and pin holes on recovery tank."
"5 - Quality Issue - Assembly","CS7010/M953 missing one of the bottles from the ecoflex "
"5 - Quality Issue - Assembly","CS7010/M953 was missing debris basket it was add on the middle of inspection "
"5 - Quality Issue - Assembly","CS7010/M953 is missing filter PL# 56510354"
"2 - Quality Issue - Appearance","M359: scratches on recovery tank b surface."
"Assembly Issue","side panel cover warp."
"Assembly Issue","front center decal crooked"
"5 - Quality Issue - Assembly","M359: missing two torque seal from main broom."
"2 - Quality Issue - Appearance","M359: scratches on rear weldment."
"5 - Quality Issue - Assembly","M359: ECU plugs for hot test is not plug."
"2 - Quality Issue - Appearance","M359: dents on oil cooler filter."
"5 - Quality Issue - Assembly","M359: broken torque seal from hydraulic reservoir."
"2 - Quality Issue - Appearance","M359: scratch on support steering wheel."
"2 - Quality Issue - Appearance","SW8000/M495 brake signal light bumper has gap, back of seat assembly…see photo."
"2 - Quality Issue - Appearance","SW8000/M495 has scratches on hopper chassis."
"Assembly Issue","FL911 sc50 Liberty - trackunit isn't paring "
"Assembly Issue","FL911 sc50 Liberty - drain hose is damaged and water is leaking from drain hose "
"4 - Quality Issue - Functional","CS7010/M856 has a fault code 2-056 MB Act Mosfet Short Critical -----------The power module has detected that the output switching
transistor for the respective motor is not switching off when expected. If the condition persists, the likely cause is that the power module has failed and needs replace"
"5 - Quality Issue - Assembly","SC6500/ N258 recovery tank still hitting solution tank from the left side. "
"2 - Quality Issue - Appearance","SC6500/N258 has pin holes on recovery tank. See picture with red tag "
"4 - Quality Issue - Functional","Right side door not closing properly, bottom is hitting another plastic piece "
"5 - Quality Issue - Assembly","Screws not tightened down completely "
"Assembly Issue","SC8000/M359 - Squeegee adjustment handle isn't turning, is stuck, and so squeegee can't be adjusted."
"2 - Quality Issue - Appearance","CS7010/M856 Side skirt has scratches on plate -catch. See picture "
"2 - Quality Issue - Appearance","CS7010/M856 Side skirt has scratches on plate -catch. See picture "
"5 - Quality Issue - Assembly","Missing emergency shut off hardware"
"5 - Quality Issue - Assembly","SC6500/ N187 Missing Decals  - Tie Down from the real side of the machine."
"4 - Quality Issue - Functional","CS7010/ M856 there is a bit of leak coming from the solution tank filter when testing solution system."
"Assembly Issue","CS7010/M954 - Left scrub deck can't go up because rubber is hitting edge of machine."
"Assembly Issue","FL911 sc50 Liberty - can not calibrate and setup the settings. machine keeps on powering off . waiting for Zach J for help/farther notices "
"5 - Quality Issue - Assembly","CS7010/M856 no grease on caster-squeeze. See photo "
"Part Shortage","Need part 2-00-04596"
"5 - Quality Issue - Assembly","O093: engine cover Is grinding lever knob when opening and closing."
"2 - Quality Issue - Appearance","SW8000/O093 missing hydraulic torque seal connecting to the oil filter cartridge."
"2 - Quality Issue - Appearance","SW8000/O093 missing and or broken hydraulic torque seal connecting radiator."
"2 - Quality Issue - Appearance","SW8000/O093 missing or broken hydraulic torque seal on hydraulic reservoir assembly."
"Assembly Issue","N187 SC6500 - Bay 4 and 5 is still open on 254 line "
"Assembly Issue","CS7010/M856 - Left side of scrub deck can't be raised up because the rubber is hitting the edge of the machine."
"Assembly Issue","CS7010/M856 - Machine goes backward by itself sometimes without needing to be stop on."
"Assembly Issue","N187 SC6500 - front right battery is damaged and is leaking fluid from it will needs to be replaced ."
"Assembly Issue","N187 SC6500 - missing ecoflex chemical bottle"
"4 - Quality Issue - Functional","M663: when operating hopper, it makes the machine to shake."
"2 - Quality Issue - Appearance","M663: dump door is scratching interior left side hopper when opening and closing."
"5 - Quality Issue - Assembly","SC6500/N257 non-step decal place it wrong "
"2 - Quality Issue - Appearance","M663: radiator is dented and need touch or black paint."
"Assembly Issue","N258 sc6500 - recovery tank is still rubbing against support chassis after reworked "
"5 - Quality Issue - Assembly","CS7010/M856 machine is asking for special drive-wheel PL#56383293, but it is at main 9 already with standard one."
"5 - Quality Issue - Assembly","CS7010/M856 machine is asking for special drive-wheel PL#56383293, but it is at main 9 already with standard one. "
"Assembly Issue","7765-m663-hopper hose is leaking "
"5 - Quality Issue - Assembly","N187: loose black cable from battery far left corner."
"Part Shortage","7765/M663 - Needs box label serial paper, ran out or something."
"5 - Quality Issue - Assembly","Missing debris basket"
"Assembly Issue","N258 sc6500 - recovery tank is damaged by support chassis "
"Assembly Issue","N257 sc6500 - test battery is low , charging battery "
"5 - Quality Issue - Assembly","R041: loose hose from hydraulic pump."
"4 - Quality Issue - Functional","R041: possible oil leak from left side broom hose."
"4 - Quality Issue - Functional","SC8000/R041 has residue or possible leakage under under hydraulic pump."
"5 - Quality Issue - Assembly","SC8000/R041 has loose hydraulic fittings and hose on hydraulic pump."
"2 - Quality Issue - Appearance","SC8000/R041 has paint scratched on steering lower column weldment."
"5 - Quality Issue - Assembly","SC8000/ R041 recovery tank front  pivot weldment hitting on hydraulic fittings and or hose…see picture."
"Assembly Issue","Engine turns off after about 25 seconds of running"
"5 - Quality Issue - Assembly","Seat not latching properly "
"Assembly Issue","SW8000/O093 - Headlight not turning on."
"Assembly Issue","SW8000/O093 - Leaking oil under seat engine near propane."
"5 - Quality Issue - Assembly","CS7010/ M783 Steering robber not properly installed."
"5 - Quality Issue - Assembly","CS7010/ M783 Steering robber not properly installed."
"5 - Quality Issue - Assembly","M782: loose screw and washer from hopper weldment."
"5 - Quality Issue - Assembly","M782: loose screw from interface panel."
"Assembly Issue","N257 sc6500 - machine shut down and power isnt coming back on after trying to test scrub deck and vacuum "
"5 - Quality Issue - Assembly","CS7010/ M783 steering loose. See video attached."
"5 - Quality Issue - Assembly","CS7010/ M783 steering loose. See video attached."
"2 - Quality Issue - Appearance","CS7010/ M783 has paint scratched on cylinder- hydraulic ( 56509377)"
"5 - Quality Issue - Assembly","N258: missing battery kit"
"5 - Quality Issue - Assembly","7765/R037 has loose bolts under recovery tank chassis."
"Assembly Issue","N257 sc6500 - right inner side skirt blade is assemble incorrectly "
"Assembly Issue","CS7010/M783 - Scrub deck is loose, needs to be tighten up."
"Assembly Issue","hopper cover rubs hopper "
